time[s],setpoint[kRPM],velocity[kRPM]
0.998613,5000.0,3514.0
1.00398,4023.89,3528.57
1.009356,4023.89,3543.43
1.014599,4023.89,3557.71
1.019922,4023.89,3573.0
1.025215,4023.89,3588.43
1.030449,4023.89,3604.0
1.035695,4023.89,3619.86
1.040887,4023.89,3636.29
1.046121,4023.89,3652.57
1.051398,4023.89,3669.71
1.056644,4023.89,3687.0
1.061882,4023.89,3704.0
1.067259,4023.89,3722.29
1.072512,4023.89,3739.86
1.077717,4023.89,3757.86
1.082979,4023.89,3776.0
1.088244,4023.89,3794.57
1.093448,4023.89,3812.43
1.098657,4023.89,3830.71
1.103905,4023.89,3849.0
1.109124,4023.89,3867.43
1.114327,4023.89,3885.57
1.119583,4023.89,3904.0
1.125157,4023.89,3923.57
1.130394,4023.89,3942.0
1.135617,4023.89,3960.29
1.140885,4023.89,3978.14
1.146126,4023.89,3994.71
1.151355,4023.89,4009.29
1.156623,4023.89,4021.43
1.161836,4023.89,4031.71
1.167171,4023.89,4039.71
1.172441,4023.89,4045.86
1.177637,4023.89,4050.57
1.182897,4023.89,4053.43
1.188179,4023.89,4055.29
1.193378,4023.89,4056.0
1.198573,4023.89,4055.86
1.203857,4023.89,4055.14
1.209126,4023.89,4053.71
1.214385,4023.89,4052.0
1.219587,4023.89,4050.0
1.224885,4023.89,4047.86
1.230151,4023.89,4045.43
1.235372,4023.89,4043.29
1.240602,4023.89,4041.0
1.24584,4023.89,4039.0
1.251256,4023.89,4036.57
1.256517,4023.89,4034.86
1.261776,4023.89,4033.0
1.26704,4023.89,4031.57
1.272317,4023.89,4030.0
1.277529,4023.89,4028.86
1.28282,4023.89,4027.86
1.288078,4023.89,4027.0
1.293287,4023.89,4026.43
1.298469,4023.89,4025.57
1.303718,4023.89,4025.29
1.308953,4023.89,4024.86
1.314141,4023.89,4024.71
1.319359,4023.89,4024.29
1.324637,4023.89,4024.43
1.329913,4023.89,4024.14
1.335125,4023.89,4024.29
1.340409,4023.89,4024.29
1.345678,4023.89,4024.29
1.350898,4023.89,4024.43
1.356219,4023.89,4024.43
1.361464,4023.89,4024.57
1.366757,4023.89,4024.57
1.372107,4023.89,4024.86
1.377306,4023.89,4024.86
1.382689,4023.89,4025.14
1.387994,4023.89,4025.0
1.393242,4023.89,4025.29
1.398484,4023.89,4025.29
1.403937,4023.89,4025.43
1.409266,4023.89,4025.29
1.414481,4023.89,4025.57
1.419743,4023.89,4025.43
1.42495,4023.89,4025.57
1.430137,4023.89,4025.43
1.435356,4023.89,4025.57
1.440618,4023.89,4025.57
1.445818,4023.89,4025.71
1.451024,4023.89,4025.57
1.456265,4023.89,4025.57
1.461484,4023.89,4025.57
1.466784,4023.89,4025.57
1.472073,4023.89,4025.57
1.477247,4023.89,4025.43
1.482522,4023.89,4025.57
1.487911,4023.89,4025.43
1.493185,4023.89,4025.57
1.49843,4023.89,4025.29
